feature,importance
demand_forecast,0.9937844804786597
price_demand_ratio,0.002481533217353287
price,0.0012935473497711777
competitor_pricing,0.00031053186383886346
inventory_level,0.00027095820983212896
rolling_std_7,0.0001577878869524024
price_competitor_diff,0.00012683319133924818
lag_1,0.00012317891769027806
lag_30,0.00012302377732653622
price_diff,0.00012230450899392356
lag_7,0.00012207355859061207
units_ordered,0.00011898808788209748
rolling_mean_7,0.00011723313306081494
ema_30,0.00011438747546868022
discounted_price,0.00011097508179440731
date_day,9.869158812063105e-05
product_id,8.499284111048362e-05
week_of_year,7.300512754452626e-05
category,4.4184125228537585e-05
store_id,4.3455631600430034e-05
seasonality,3.584699408727938e-05
region,3.5721086466956295e-05
weather_condition,3.493371876135592e-05
date_dayofweek,3.054102621441871e-05
day_of_week,3.0301133430024875e-05
discount,2.4465614024699366e-05
month,2.247067026638655e-05
date_month,2.2333340432656086e-05
holiday_promotion,1.5000730232899516e-05
date_year,1.483206581046679e-05
quarter,9.030659774900446e-06
competitor_price_high,2.35690833912846e-06
is_holiday,0.0
